word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
Silence,is,golden,,,,,,,
I,am,hungry,,,,,,,
I ,went,out,,,,,,,
It,is,raining,,,,,,,
The,sun,shone,,,,,,,
I,will,be,back,,,,,,
This,is,a ,book,,,,,,
I,open,the,door,,,,,,
I,stand,near,Fred,,,,,,
It,is,dark,outside,,,,,,
The,chair,is,purple,,,,,,
The,sun,is,shining,,,,,,
It,is,raining,today,,,,,,
Today,is,after,yesterday,,,,,,
Pikachu,I,choose,you,,,,,,
I,am,driving,my,car,,,,,
My,sister,has,a,cup,,,,,
You,stood,behind,your,friend,,,,,
That,cat,caught,that,mouse,,,,,
You,held,the,door,open,,,,,
The,door,has,been,opened,,,,,
Never,give,up,never,surrender,,,,,
Music,is,good,for,you,,,,,
One,ring,to,bring,them,all,,,,
The,dog,is,eating,the,bone,,,,
The,mouse,ate,all,the,cheese,,,,
Take,me,down,to,paradise,city,,,,
This,diamond,ring,is,very,expensive,,,,
The,cat,sat,on,the,mat,,,,
That,is,exactly,what,I,need,,,,
And,in,the,darkness,bind,them,,,,
The,monkey,is,in,the,tree,,,,
He,told,me,to,suit,up,,,,
That,is,very,kind,of,you,,,,
We,should,go,on,a,dinosaur,adventure,,,
There,are,two,pencils,in,my,case,,,
I,am,now,just,typing,song,lyrics,,,
And,now,i,am,typing,movie,quotes,,,
I,am,not,a,friend,of,yours,,,
The,first,day,of,my,life,has,begun,,
I,have,a,lot,of,food,to,eat,,
All,the,cheese,was,eaten,by,the,mouse,,
You,were,driving,my,car,along,the,road,,
Tuesday,is,the,second,day,of,the,week,,
I,wake,up,in,the,morning,and,have,breakfast,
He,said,he,always,wore,his,tuxedo,at,parties,
There,will,not,be,many,people,at,the,party,
A,day,may,come,when,the,courage,of,men,fails
There,will,be,a,lot,of,people,at,the,party
Let,this,be,the,hour,when,we,draw,swords,together
